#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	0.8730	9	0	52.1270	53	62	0.1863	0.8408	0.9835	0.9066
11604102	19.7484	3	6	75.2516	101	98	0.2846	0.7679	0.7451	0.7563
14624252	1.9055	12	0	53.0945	55	67	0.2528	0.7925	0.9654	0.8704
14675480	2.9769	4	4	37.0231	44	44	0.2495	0.8414	0.8414	0.8414
14691534	5.5707	71	0	139.4293	145	216	0.5281	0.6455	0.9616	0.7725
15018652	0.9982	4	0	35.0018	36	40	0.1388	0.8750	0.9723	0.9211
15070402	7.0233	22	3	42.9767	53	72	0.6042	0.5969	0.8109	0.6876
15238161	11.0044	56	11	45.9956	68	113	1.1471	0.4070	0.6764	0.5082
15328538	0.0000	11	0	82.0000	82	93	0.1341	0.8817	1.0000	0.9371
15560850	3.1285	23	3	45.8715	52	72	0.5602	0.6371	0.8821	0.7399
15615595	1.8738	14	1	56.1262	59	72	0.2860	0.7795	0.9513	0.8569
15619330	2.8475	23	1	52.1525	56	78	0.4794	0.6686	0.9313	0.7784
15784609	0.0000	15	2	51.0000	53	66	0.3208	0.7727	0.9623	0.8571
15850489	0.0000	18	0	151.0000	151	169	0.1192	0.8935	1.0000	0.9438
15882093	4.8769	33	3	85.1231	93	123	0.4395	0.6921	0.9153	0.7882
16026622	6.6555	10	4	81.3445	92	98	0.2245	0.8300	0.8842	0.8563
16027110	26.8810	29	18	96.1190	141	152	0.5240	0.6324	0.6817	0.6561
16410827	14.2712	23	3	57.7288	75	95	0.5369	0.6077	0.7697	0.6792
16517939	8.4877	36	15	96.5123	120	141	0.4957	0.6845	0.8043	0.7396
16611361	2.8507	8	0	65.1493	68	76	0.1596	0.8572	0.9581	0.9049
16787536	8.2240	6	2	40.7760	51	55	0.3181	0.7414	0.7995	0.7694
16800892	16.3363	27	3	134.6637	154	178	0.3009	0.7565	0.8744	0.8112
16968134	14.0884	30	1	52.9116	68	97	0.6631	0.5455	0.7781	0.6414
17029558	26.7496	77	18	150.2504	195	254	0.6244	0.5915	0.7705	0.6693
17201918	14.4911	98	2	206.5089	223	319	0.5134	0.6474	0.9260	0.7620
17206865	9.5253	28	6	103.4747	119	141	0.3658	0.7339	0.8695	0.7960
17465682	7.8906	66	0	280.1094	288	354	0.2566	0.7913	0.9726	0.8726
17503968	21.6766	48	0	67.3234	89	137	0.7829	0.4914	0.7564	0.5958
17565376	31.7353	51	22	141.2647	195	224	0.5371	0.6306	0.7244	0.6743
17677002	4.9167	38	1	116.0833	122	159	0.3600	0.7301	0.9515	0.8262
TOTAL	277.6071	893	129	2694.3929	3101	3865	0.4191	0.6971	0.8689	0.7736
