#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	0.9093	1	0	14.0907	15	16	0.1273	0.8807	0.9394	0.9091
11604102	0.0000	2	5	20.0000	25	22	0.2800	0.9091	0.8000	0.8511
14624252	1.0000	1	3	28.0000	32	30	0.1563	0.9333	0.8750	0.9032
14675480	2.9642	2	1	33.0358	37	38	0.1612	0.8694	0.8929	0.8810
14691534	10.5538	2	13	38.4462	62	51	0.4122	0.7538	0.6201	0.6805
15018652	0.0000	0	3	10.0000	13	10	0.2308	1.0000	0.7692	0.8696
15070402	6.5610	8	5	44.4390	56	59	0.3493	0.7532	0.7936	0.7729
15238161	0.7942	0	2	20.2058	23	21	0.1215	0.9622	0.8785	0.9184
15328538	9.1788	12	18	95.8212	123	117	0.3185	0.8190	0.7790	0.7985
15560850	2.0812	2	2	17.9188	22	22	0.2764	0.8145	0.8145	0.8145
15615595	0.8502	5	2	21.1498	24	27	0.3271	0.7833	0.8812	0.8294
15619330	0.0000	1	5	30.0000	35	31	0.1714	0.9677	0.8571	0.9091
15784609	4.5568	2	0	80.4432	85	87	0.0771	0.9246	0.9464	0.9354
15850489	18.6560	14	67	125.3440	211	158	0.4723	0.7933	0.5940	0.6794
15882093	1.1992	3	0	75.8008	77	80	0.0545	0.9475	0.9844	0.9656
16026622	56.4138	7	3	24.5862	84	88	0.7906	0.2794	0.2927	0.2859
16027110	0.9844	1	2	34.0156	37	36	0.1077	0.9449	0.9193	0.9319
16410827	0.9558	0	2	20.0442	23	21	0.1285	0.9545	0.8715	0.9111
16517939	0.8010	8	7	28.1990	36	37	0.4389	0.7621	0.7833	0.7726
16611361	0.0000	1	1	8.0000	9	9	0.2222	0.8889	0.8889	0.8889
16787536	7.3883	3	5	41.6117	54	52	0.2850	0.8002	0.7706	0.7851
16800892	1.5537	2	11	59.4463	72	63	0.2021	0.9436	0.8256	0.8807
16968134	0.6700	9	0	52.3300	53	62	0.1825	0.8440	0.9874	0.9101
17029558	0.5594	3	3	37.4406	41	41	0.1600	0.9132	0.9132	0.9132
17201918	5.3472	8	1	113.6528	120	127	0.1196	0.8949	0.9471	0.9203
17206865	1.2948	1	0	34.7052	36	37	0.0637	0.9380	0.9640	0.9508
17465682	50.8076	21	18	156.1924	225	228	0.3991	0.6851	0.6942	0.6896
17503968	61.1760	46	43	371.8240	476	479	0.3155	0.7763	0.7811	0.7787
17565376	2.6552	3	5	29.3448	37	35	0.2880	0.8384	0.7931	0.8151
17677002	6.1899	3	7	43.8101	57	53	0.2840	0.8266	0.7686	0.7965
TOTAL	256.1017	171	234	1709.8983	2200	2137	0.3005	0.8001	0.7772	0.7885
