#document-id	substitutions	insertions	deletions	matches	ref-count	prediction-count	SER	precision	recall	F1-score
11319941	0.8730	2	0	52.1270	53	55	0.0542	0.9478	0.9835	0.9653
11604102	18.7513	1	7	75.2487	101	95	0.2649	0.7921	0.7450	0.7678
14624252	0.9651	7	0	54.0349	55	62	0.1448	0.8715	0.9825	0.9237
14675480	1.9769	5	4	38.0231	44	45	0.2495	0.8450	0.8642	0.8545
14691534	6.7259	28	0	138.2741	145	173	0.2395	0.7993	0.9536	0.8696
15018652	0.9982	2	0	35.0018	36	38	0.0833	0.9211	0.9723	0.9460
15070402	6.0478	10	3	43.9522	53	60	0.3594	0.7325	0.8293	0.7779
15238161	10.0046	15	11	46.9954	68	72	0.5295	0.6527	0.6911	0.6714
15328538	0.5000	5	0	81.5000	82	87	0.0671	0.9368	0.9939	0.9645
15560850	0.9856	22	0	51.0144	52	74	0.4420	0.6894	0.9810	0.8098
15615595	1.8738	10	1	56.1262	59	68	0.2182	0.8254	0.9513	0.8839
15619330	1.8611	12	2	52.1389	56	66	0.2832	0.7900	0.9311	0.8547
15784609	0.8712	1	2	50.1288	53	52	0.0730	0.9640	0.9458	0.9548
15850489	0.0000	4	0	151.0000	151	155	0.0265	0.9742	1.0000	0.9869
15882093	4.8769	11	3	85.1231	93	101	0.2030	0.8428	0.9153	0.8776
16026622	7.6207	5	3	81.3793	92	94	0.1698	0.8657	0.8846	0.8750
16027110	32.5684	10	21	87.4316	141	130	0.4508	0.6726	0.6201	0.6453
16410827	14.2712	5	3	57.7288	75	77	0.2969	0.7497	0.7697	0.7596
16517939	10.6057	20	16	93.3943	120	124	0.3884	0.7532	0.7783	0.7655
16611361	0.8793	3	2	65.1207	68	69	0.0865	0.9438	0.9577	0.9507
16787536	8.2240	2	2	40.7760	51	51	0.2397	0.7995	0.7995	0.7995
16800892	16.2122	16	3	134.7878	154	167	0.2287	0.8071	0.8752	0.8398
16968134	15.0439	37	1	51.9561	68	104	0.7801	0.4996	0.7641	0.6041
17029558	21.9765	33	21	152.0235	195	207	0.3896	0.7344	0.7796	0.7563
17201918	10.5229	32	3	209.4771	223	252	0.2041	0.8313	0.9394	0.8820
17206865	7.5369	12	5	106.4631	119	126	0.2062	0.8449	0.8946	0.8691
17465682	3.8350	16	0	284.1650	288	304	0.0689	0.9348	0.9867	0.9600
17503968	20.5998	24	0	68.4002	89	113	0.5011	0.6053	0.7685	0.6772
17565376	29.1527	17	25	140.8473	195	187	0.3649	0.7532	0.7223	0.7374
17677002	2.9642	9	3	116.0358	122	128	0.1227	0.9065	0.9511	0.9283
TOTAL	259.3249	376	141	2700.6751	3101	3336	0.2503	0.8096	0.8709	0.8391
